Genre,Country,Percent
Soundtracks/Musicals/Theatre,ES,0
Spoken Word,ES,0
French Variety,ES,0
World,ES,0
Afrikaans,FI,0
Bollywood,FI,0
Cantonese Pop,FI,0
Christian/Gospel,FI,0
Classical,FI,2.4601272
Country and Western,FI,0
Dance,FI,3.51172
Devotional,FI,0
Easy Listening/Oldies,FI,0
Electronica,FI,0
Flamenco,FI,0
Folk/Roots,FI,1.7462213
Ghazal,FI,0
Hindustani Classical,FI,0
Indie/Alternative,FI,3.0122021
Italiana,FI,0
Jazz,FI,2.9831729
Khaleeji,FI,0
Latin Music,FI,0
Mandarin Pop,FI,0
Metal,FI,14.4933134
Nederlandstalig,FI,0
Oriental Pop,FI,0
Pop,FI,35.6157232
Rap/Hip Hop,FI,4.8945412
Reggae,FI,0
Rock,FI,27.6306091
Schlager,FI,0
Shanson,FI,0
Soul/R 'n' B/Funk,FI,3.6523695
Soundtracks/Musicals/Theatre,FI,0
Spoken Word,FI,0
French Variety,FI,0
World,FI,0
Afrikaans,FR,0
Bollywood,FR,0
Cantonese Pop,FR,0
Christian/Gospel,FR,0
Classical,FR,3.8480241
Country and Western,FR,0
Dance,FR,7.2623733
Devotional,FR,0
Easy Listening/Oldies,FR,0
Electronica,FR,0
Flamenco,FR,0
Folk/Roots,FR,0
Ghazal,FR,0
Hindustani Classical,FR,0
Indie/Alternative,FR,4.8349558
Italiana,FR,0
Jazz,FR,3.2779465
Khaleeji,FR,0
Latin Music,FR,0
Mandarin Pop,FR,0
Metal,FR,0
Nederlandstalig,FR,0
Oriental Pop,FR,0
Pop,FR,35.3029149
Rap/Hip Hop,FR,10.4669193
Reggae,FR,0
Rock,FR,11.5884186
Schlager,FR,0
Shanson,FR,0
Soul/R 'n' B/Funk,FR,10.6351289
Soundtracks/Musicals/Theatre,FR,0
Spoken Word,FR,0
French Variety,FR,4.4908907
World,FR,8.2924278
Afrikaans,GB,0
Bollywood,GB,0
Cantonese Pop,GB,0
Christian/Gospel,GB,0
Classical,GB,2.2564027
Country and Western,GB,0
Dance,GB,10.6166952
Devotional,GB,0
Easy Listening/Oldies,GB,0
Electronica,GB,1.7872466
Flamenco,GB,0
Folk/Roots,GB,0
Ghazal,GB,0
Hindustani Classical,GB,0
Indie/Alternative,GB,8.3002295
Italiana,GB,0
Jazz,GB,1.8176886
Khaleeji,GB,0
Latin Music,GB,0
Mandarin Pop,GB,0
Metal,GB,4.6096446
Nederlandstalig,GB,0
Oriental Pop,GB,0
Pop,GB,36.9046713
Rap/Hip Hop,GB,6.4829948
Reggae,GB,0
Rock,GB,21.887208
Schlager,GB,0
Shanson,GB,0
Soul/R 'n' B/Funk,GB,5.3372188
Soundtracks/Musicals/Theatre,GB,0
Spoken Word,GB,0
French Variety,GB,0
World,GB,0
Afrikaans,ID,0
Bollywood,ID,0
Cantonese Pop,ID,0
Christian/Gospel,ID,0
Classical,ID,2.7284387
Country and Western,ID,2.8107303
Dance,ID,2.2154201
Devotional,ID,0
Easy Listening/Oldies,ID,0
Electronica,ID,0
Flamenco,ID,0
Folk/Roots,ID,0
Ghazal,ID,0
Hindustani Classical,ID,0
Indie/Alternative,ID,3.4832937
Italiana,ID,0
Jazz,ID,3.18639
Khaleeji,ID,0
Latin Music,ID,0
Mandarin Pop,ID,0
Metal,ID,5.9790002
Nederlandstalig,ID,0
Oriental Pop,ID,0
Pop,ID,50.9897529
Rap/Hip Hop,ID,0
Reggae,ID,0
Rock,ID,19.8123823
Schlager,ID,0
Shanson,ID,0
Soul/R 'n' B/Funk,ID,5.4643022
Soundtracks/Musicals/Theatre,ID,3.3302898
Spoken Word,ID,0
French Variety,ID,0
World,ID,0
Afrikaans,IE,0
Bollywood,IE,0
Cantonese Pop,IE,0
Christian/Gospel,IE,0
Classical,IE,7.0194432
Country and Western,IE,0
Dance,IE,7.589483
Devotional,IE,0
Easy Listening/Oldies,IE,2.2028281
Electronica,IE,0
Flamenco,IE,0
Folk/Roots,IE,1.7366328
Ghazal,IE,0
Hindustani Classical,IE,0
Indie/Alternative,IE,8.4312859
Italiana,IE,0
Jazz,IE,0
Khaleeji,IE,0
Latin Music,IE,0
Mandarin Pop,IE,0
Metal,IE,3.402563
Nederlandstalig,IE,0
Oriental Pop,IE,0
Pop,IE,36.2107821
Rap/Hip Hop,IE,6.2395051
Reggae,IE,0
Rock,IE,17.3287671
Schlager,IE,0
Shanson,IE,0
Soul/R 'n' B/Funk,IE,9.8387097
Soundtracks/Musicals/Theatre,IE,0
Spoken Word,IE,0
French Variety,IE,0
World,IE,0
Afrikaans,IN,0
Bollywood,IN,44.2543235
Cantonese Pop,IN,0
Christian/Gospel,IN,0
Classical,IN,0
Country and Western,IN,0
Dance,IN,0
Devotional,IN,2.6084931
Easy Listening/Oldies,IN,0
Electronica,IN,0
Flamenco,IN,0
Folk/Roots,IN,0
Ghazal,IN,2.4882768
Hindustani Classical,IN,2.5117015
Indie/Alternative,IN,0
Italiana,IN,0
Jazz,IN,0
Khaleeji,IN,0
Latin Music,IN,0
Mandarin Pop,IN,0
Metal,IN,2.4012248
Nederlandstalig,IN,0
Oriental Pop,IN,0
Pop,IN,29.3040158
Rap/Hip Hop,IN,3.0911223
Reggae,IN,0
Rock,IN,5.2014693
Schlager,IN,0
Shanson,IN,0
Soul/R 'n' B/Funk,IN,2.192559
Soundtracks/Musicals/Theatre,IN,0
Spoken Word,IN,0
French Variety,IN,0
World,IN,5.9468139
Afrikaans,IT,0
Bollywood,IT,0
Cantonese Pop,IT,0
Christian/Gospel,IT,0
Classical,IT,5.6490564
Country and Western,IT,0
Dance,IT,3.6009904
Devotional,IT,0
Easy Listening/Oldies,IT,0
Electronica,IT,0
Flamenco,IT,0
Folk/Roots,IT,0
Ghazal,IT,0
Hindustani Classical,IT,0
Indie/Alternative,IT,3.8788749
Italiana,IT,2.3530316
Jazz,IT,6.1317069
Khaleeji,IT,0
Latin Music,IT,0
Mandarin Pop,IT,0
Metal,IT,3.3820746
Nederlandstalig,IT,0
Oriental Pop,IT,0
Pop,IT,39.1736039
Rap/Hip Hop,IT,3.8443806
Reggae,IT,0
Rock,IT,23.1069048
Schlager,IT,0
Shanson,IT,0
Soul/R 'n' B/Funk,IT,8.8793759
Soundtracks/Musicals/Theatre,IT,0
Spoken Word,IT,0
French Variety,IT,0
World,IT,0
Afrikaans,MX,0
Bollywood,MX,0
Cantonese Pop,MX,0
Christian/Gospel,MX,0
Classical,MX,3.1304283
Country and Western,MX,0
Dance,MX,3.5622174
Devotional,MX,0
Easy Listening/Oldies,MX,0
Electronica,MX,0
Flamenco,MX,0
Folk/Roots,MX,0
Ghazal,MX,0
Hindustani Classical,MX,0
Indie/Alternative,MX,3.8710538
Italiana,MX,0
Jazz,MX,0
Khaleeji,MX,0
Latin Music,MX,25.6861922
Mandarin Pop,MX,0
Metal,MX,5.4038258
Nederlandstalig,MX,0
Oriental Pop,MX,0
Pop,MX,30.563837
Rap/Hip Hop,MX,2.2072972
Reggae,MX,0
Rock,MX,20.4616234
Schlager,MX,0
Shanson,MX,0
Soul/R 'n' B/Funk,MX,2.374506
Soundtracks/Musicals/Theatre,MX,2.7390189
Spoken Word,MX,0
French Variety,MX,0
World,MX,0
Afrikaans,MY,0
Bollywood,MY,0
Cantonese Pop,MY,4.3443641
Christian/Gospel,MY,0
Classical,MY,0
Country and Western,MY,2.8241759
Dance,MY,0
Devotional,MY,0
Easy Listening/Oldies,MY,0
Electronica,MY,0
Flamenco,MY,0
Folk/Roots,MY,0
Ghazal,MY,0
Hindustani Classical,MY,0
Indie/Alternative,MY,4.6710752
Italiana,MY,0
Jazz,MY,0
Khaleeji,MY,0
Latin Music,MY,0
Mandarin Pop,MY,7.6619987
Metal,MY,4.3922104
Nederlandstalig,MY,0
Oriental Pop,MY,0
Pop,MY,42.1764311
Rap/Hip Hop,MY,3.3806559
Reggae,MY,0
Rock,MY,19.1093821
Schlager,MY,0
Shanson,MY,0
Soul/R 'n' B/Funk,MY,7.1524723
Soundtracks/Musicals/Theatre,MY,4.2872343
Spoken Word,MY,0
French Variety,MY,0
World,MY,0
Afrikaans,NL,0
Bollywood,NL,0
Cantonese Pop,NL,0
Christian/Gospel,NL,0
Classical,NL,3.4938626
Country and Western,NL,0
Dance,NL,7.2151885
Devotional,NL,0
Easy Listening/Oldies,NL,0
Electronica,NL,0
Flamenco,NL,0
Folk/Roots,NL,0
Ghazal,NL,0
Hindustani Classical,NL,0
Indie/Alternative,NL,4.3975933
Italiana,NL,0
Jazz,NL,4.5159632
Khaleeji,NL,0
Latin Music,NL,0
Mandarin Pop,NL,0
Metal,NL,4.4846082
Nederlandstalig,NL,5.5665432
Oriental Pop,NL,0
Pop,NL,33.3525051
Rap/Hip Hop,NL,4.9925972
Reggae,NL,0
Rock,NL,24.2023013
Schlager,NL,0
Shanson,NL,0
Soul/R 'n' B/Funk,NL,7.7788374
Soundtracks/Musicals/Theatre,NL,0
